Sample_ID,Image_ID,Material_Type,Material_Subtype,Source,Exposure_Type,Crack_Level,Surface_Damage,Breakage_Level,Discoloration_Level,Deformation_Level,Missing_Portion,Damage_Score,Condition_Score,Condition_Class,Structural_Integrity,Recovery_Pathway,Reconditioning_Required,Recovery_Potential,Alternative_Use_Category,Alternative_Use_Suitability,pixel_img_width,pixel_img_height,pixel_obj_width,pixel_obj_height,relative_area,edge_density,fill_ratio,color_std,mean_brightness,std_brightness,contrast,texture_laplacian_var,dark_pixel_ratio,bright_pixel_ratio,mean_hue,mean_saturation,saturation_std,contour_area,contour_perimeter,circularity,solidity,extent
TRAINING_00001,1.jpg,brick,Standard,Demolition_Site,Exterior_Weathered,5,4.0,3,High,1,High,3.0,5.5,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Landscaping / Garden Edging,55,1920,1200,233,245,0.024776475694444446,0.07506350179556802,0.4213015678374354,67.86388653035287,154.68895506700534,61.86535842548112,226,409.4941736036861,0.007217307523867916,0.25067881229745115,16.328107208548655,103.35412104756065,34.78816698278251,24050.0,2086.5768917798996,0.06941545232453031,0.6454296602436799,0.46079858982219496
TRAINING_00002,1.jpg,concrete,Reinforced,Demolition_Site,Exterior_Weathered,5,3.5,2,Moderate,2,Medium,3.0,5.5,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Landscaping Use,55,1920,1200,174,143,0.010799479166666667,0.18197894059963027,0.6197251024837231,52.69331285029964,118.42255445703722,53.203557871148526,214,739.7103743397637,0.0741901776384535,0.022586608793505346,25.59127079816735,61.989751627682665,18.395386853282456,15420.0,665.7543942928314,0.4371859076936794,0.9037362637362637,0.6350382999752904
TRAINING_00003,1.jpg,tile,Standard,Demolition_Site,Exterior_Weathered,2,3.2,2,High,1,Medium,1.7,7.4,Good,Visually Intact,Direct Reuse,No,High,Direct Construction Reuse,74,1920,1200,186,200,0.016145833333333335,0.022338709677419355,0.6922177419354839,80.03091753664869,184.53698924731182,80.77734150498387,216,141.7170187044745,0.03077956989247312,0.6777150537634409,26.294677419354837,69.38956989247312,18.294681900391517,25750.5,698.1147857904434,0.6639599103889312,0.9769149057247999,0.7106722967378705
TRAINING_00004,1.jpg,brick,Standard,Demolition_Site,Exterior_Weathered,4,3.2,3,Moderate,1,High,2.7,5.9,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Landscaping / Garden Edging,59,1920,1200,179,163,0.012663628472222223,0.047811632450217634,0.40814682798094387,47.433090094181644,97.92295301093327,45.96936591556507,228,259.28670401595963,0.2305583164821606,0.03382801521746581,41.51173869828975,83.60222092744284,28.2792295245123,11908.5,1237.8691799640656,0.09766015847882817,0.7619001919385796,0.6165734700217459
TRAINING_00005,1.jpg,concrete,Reinforced,Demolition_Site,Exterior_Weathered,5,4.0,3,High,2,High,3.3,5.1,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Landscaping Use,51,1920,1200,155,181,0.012176649305555556,0.1402958474425236,0.5775975761896275,73.85803798574588,155.35851006950634,75.07613674956737,227,763.1690941549653,0.136303689181964,0.36164676528248085,29.703154517911244,61.738121546961324,22.88094529129241,16204.5,963.7026588916779,0.2192599873559972,0.8371390194761585,0.6035195530726257
TRAINING_00006,1.jpg,tile,Standard,Demolition_Site,Exterior_Weathered,5,4.0,2,High,2,Medium,3.0,5.5,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Mosaic / Decorative Use,55,1920,1200,183,213,0.01691796875,0.07888863234049104,0.64913158367326,64.91032278397114,173.701198081018,57.808500202460785,213,340.4499140149536,0.0018984581441288898,0.43390030529259344,18.15854690987455,101.77849611329177,26.134999294782535,25302.5,877.9625487327576,0.4124974957996207,0.9069321481056669,0.6656800841883714
TRAINING_00007,1.jpg,brick,Standard,Demolition_Site,Exterior_Weathered,5,3.5,3,Moderate,3,High,3.7,4.4,Fair,Visually Compromised,Refurbishment / Alternative Use,Yes,Medium,Landscaping / Garden Edging,44,1920,1200,208,133,0.012006944444444445,0.09922643146327356,0.5928101503759399,57.45353921777864,121.0181101792944,52.952611869235156,235,487.98515726764424,0.02385772122614228,0.02013447079236553,13.970936957779063,96.24201127819549,30.99861044578557,16399.5,623.2274843454361,0.5305756028775934,0.8883562200373771,0.5985655887291043
TRAINING_00008,1.jpg,concrete,Reinforced,Demolition_Site,Exterior_Weathered,5,4.0,3,High,2,High,3.3,5.1,Fair,Visually Intact,Refurbishment / Alternative Use,Yes,Medium,Landscaping Use,51,1920,1200,157,131,0.008926649305555555,0.15675596829873098,0.5795692128166481,66.54910830928333,148.09729177809112,66.55523770104281,211,439.04723655476306,0.013468177177031167,0.2770457529051393,20.03170126902319,73.2029950892206,16.675293704006194,11920.0,927.0924875736237,0.17427696798183331,0.8180071369750206,0.5832844000782932
TRAINING_00009,1.jpg,tile,Standard,Demolition_Site,Exterior_Weathered,5,4.0,4,High,2,Severe,3.7,4.4,Fair,Visually Compromised,Refurbishment / Alternative Use,Yes,Medium,Mosaic / Decorative Use,44,1920,1200,212,158,0.014538194444444444,0.09245880105087174,0.339980893240984,64.62788887346518,153.06167900644854,61.333639532350865,232,558.8953511889446,0.038780749940291376,0.23820754716981132,19.233012897062334,88.80908168139479,33.176460269930686,11388.0,709.0924861431122,0.2846109177055981,0.8826880595279618,0.47949473684210525
TRAINING_00010,1.jpg,brick,Standard,Demolition_Site,Exterior_Weathered,4,3.2,5,Moderate,4,Severe,4.3,3.6,Poor,Visually Compromised,Alternative Use / Recycling,Yes,Low,Aggregate / Filler,36,1920,1200,101,180,0.007890625,0.04823982398239824,0.10794829482948295,56.79903507847946,120.7428492849285,50.606756757426545,222,162.44385245152677,0.0026402640264026403,0.1103960396039604,14.441529152915292,117.01298129812982,37.79719122195692,1962.5,286.87005734443665,0.29967401670289023,0.9613029635072251,0.7548076923076923
